Matrix Key,Area,Asset,Canonical ID,Repository Filename,Media Type,Batch,Evidence Strength,Inclusion,Story Role,Narrative Story,Primary Narrative Section,Proposed Report Use,Qualification / Caution,Inspector Review,Inspector Note
UGU4-REF-001,Underground - Secondary Plant,U4 Tripper Car,UGU4-REF-001,UGU4-REF-001.JPG,Photo,A,Context only,A,TOPOLOGY / ORIENTATION,U4 tracking-to-consequence sequence plus separate fines accumulation story,15. U4 Tripper Car - Strong Local Cause-and-Effect Example,Asset-identification/orientation reference only.,Not required in the principal body chain.,ACCEPTED / QUICK VALIDATION CLOSED,Retain A.
UGU4-REF-002,Underground - Secondary Plant,U4 Tripper Car,UGU4-REF-002,UGU4-REF-002.JPG,Photo,A,Context only,A,TOPOLOGY / ORIENTATION,U4 tracking-to-consequence sequence plus separate fines accumulation story,15. U4 Tripper Car - Strong Local Cause-and-Effect Example,General tripper topology/guarding context.,Not required in the principal body chain.,ACCEPTED / QUICK VALIDATION CLOSED,Retain A.
UGU4-REF-003,Underground - Secondary Plant,U4 Tripper Car,UGU4-REF-003,UGU4-REF-003.JPG,Photo,A,Context only,A,TOPOLOGY / ORIENTATION; MAINTENANCE / DESIGN DETAIL,U4 tracking-to-consequence sequence plus separate fines accumulation story,15. U4 Tripper Car - Strong Local Cause-and-Effect Example,General equipment/context reference.,Not required in the principal body chain.,ACCEPTED / QUICK VALIDATION CLOSED,Retain A.
UGU4-REF-004,Underground - Secondary Plant,U4 Tripper Car,UGU4-REF-004,UGU4-REF-004.JPG,Photo,A,Supporting,E,MECHANISM; OPERATING CONTEXT; PROCESS RELATIONSHIP,U4 tracking-to-consequence sequence plus separate fines accumulation story,15. U4 Tripper Car - Strong Local Cause-and-Effect Example,Third image in the tracking sequence: longitudinal view showing the lateral belt displacement continuing toward the tripper-car region.,Supports continuity of the captured tracking condition but does not quantify magnitude or establish every mechanical cause.,ACCEPTED / QUICK VALIDATION CLOSED,Elevated S to E; use after REF-009.
UGU4-REF-005,Underground - Secondary Plant,U4 Tripper Car,UGU4-REF-005,UGU4-REF-005.JPG,Photo,A,Direct,E,EXTENT / SEVERITY; CONSEQUENCE,U4 tracking-to-consequence sequence plus separate fines accumulation story,15. U4 Tripper Car - Strong Local Cause-and-Effect Example,First image of the separate fines-accumulation pair in the head-pulley/tripper discharge region.,Shows accumulated consequence; does not independently prove the complete fines-generation mechanism.,ACCEPTED / QUICK VALIDATION CLOSED,Elevated A to E; pair with REF-006.
UGU4-REF-006,Underground - Secondary Plant,U4 Tripper Car,UGU4-REF-006,UGU4-REF-006.JPG,Photo,A,Direct,E,EXTENT / SEVERITY; CONSEQUENCE,U4 tracking-to-consequence sequence plus separate fines accumulation story,15. U4 Tripper Car - Strong Local Cause-and-Effect Example,Second image of the separate fines-accumulation pair showing substantial fines build-up in the head-pulley/tripper region.,Shows substantial fines accumulation; source mechanism remains separately assessed.,ACCEPTED / QUICK VALIDATION CLOSED,Retain E; pair with REF-005.
UGU4-REF-007,Underground - Secondary Plant,U4 Tripper Car,UGU4-REF-007,UGU4-REF-007.JPG,Photo,A,Direct,E,CONSEQUENCE; EXTENT / SEVERITY; PROCESS RELATIONSHIP,U4 tracking-to-consequence sequence plus separate fines accumulation story,15. U4 Tripper Car - Strong Local Cause-and-Effect Example,Fourth image in the tracking sequence: concentrated larger/coarse product accumulated along one side of the conveyor/tripper path, showing the associated material-loss consequence.,The still shows the accumulated one-side consequence rather than the instant each piece leaves the belt; use with REF-008/009/004 rather than as standalone proof of chronology.,ACCEPTED / QUICK VALIDATION CLOSED,Retain E; close the tracking-to-consequence sequence.
UGU4-REF-008,Underground - Secondary Plant,U4 Tripper Car,UGU4-REF-008,UGU4-REF-008.JPG,Photo,A,Supporting,E,MECHANISM; OPERATING CONTEXT; SOURCE-RECORDED SUPPORT,U4 tracking-to-consequence sequence plus separate fines accumulation story,15. U4 Tripper Car - Strong Local Cause-and-Effect Example,Opening image in the tracking sequence: tail-pulley/belt relationship supporting the recorded tail-pulley alignment concern and asymmetric running condition.,Tail-pulley misalignment remains inspector-recorded and visually supported but is not dimensionally proven/quantified by this still.,ACCEPTED / QUICK VALIDATION CLOSED,Elevated S to E; use first in REF-008 to REF-009 to REF-004 to REF-007 sequence.
UGU4-REF-009,Underground - Secondary Plant,U4 Tripper Car,UGU4-REF-009,UGU4-REF-009.jpg,Photo,A,Direct,E,MECHANISM; DEFECT / CONDITION; PROCESS RELATIONSHIP,U4 tracking-to-consequence sequence plus separate fines accumulation story,15. U4 Tripper Car - Strong Local Cause-and-Effect Example,Second image in the tracking sequence: principal still showing lateral belt mistracking developing downstream of the tail-pulley region.,Mistracking is visually supported but no percentage or dimensional magnitude is to be inferred without measurement.,ACCEPTED / QUICK VALIDATION CLOSED,Retain E; use after REF-008.
UGU4-REF-010,Underground - Secondary Plant,U4 Tripper Car,UGU4-REF-010,UGU4-REF-010.MP4,Video,A,Supporting / source-recorded alignment observation support,S,MECHANISM; OPERATING CONTEXT; SOURCE-RECORDED SUPPORT,U4 tracking-to-consequence sequence plus separate fines accumulation story,15. U4 Tripper Car - Strong Local Cause-and-Effect Example,Dynamic supporting record of the tail-pulley/belt operating relationship.,Video remains supporting evidence; it does not provide a fixed survey reference for quantitative alignment.,ACCEPTED / QUICK VALIDATION CLOSED,Retain S; photo reassignment did not alter the video classification.
