Matrix Key,Area,Asset,Canonical ID,Repository Filename,Media Type,Batch,Evidence Strength,Inclusion,Story Role,Narrative Story,Primary Narrative Section,Proposed Report Use,Qualification / Caution,Inspector Review,Inspector Note
Screen-REF-001,Surface - Screening,Screens / Screen Chutes,Screen-REF-001,Screen-REF-001.jpg,Photo,C,Direct corrosion/deterioration,S,DEFECT / CONDITION; EXTENT / SEVERITY; CONSEQUENCE,Active process-water loss plus separate corrosion/structural deterioration,18. Screens - Confirmed Water Escape / Structural Story,Supporting corrosion/deterioration evidence.,Active water escape is proven but the internal defect/source mechanism requires shutdown inspection. Corrosion is present in the repeatedly wetted environment but the audit does not attribute all corrosion to one water source. Structural capacity is not determined photographically.,ACCEPTED / QUICK VALIDATION CLOSED,Retain S.
Screen-REF-002,Surface - Screening,Screens / Screen Chutes,Screen-REF-002,Screen-REF-002.jpg,Photo,C,Direct corrosion/deterioration,E,DEFECT / CONDITION; EXTENT / SEVERITY; CONSEQUENCE,Active process-water loss plus separate corrosion/structural deterioration,18. Screens - Confirmed Water Escape / Structural Story,Principal close/local corrosion view paired with REF-003 for wider area context.,Active water escape is proven but the internal defect/source mechanism requires shutdown inspection. Corrosion is present in the repeatedly wetted environment but the audit does not attribute all corrosion to one water source. Structural capacity is not determined photographically.,ACCEPTED / QUICK VALIDATION CLOSED,Elevated A to E; principal close corrosion image.
Screen-REF-003,Surface - Screening,Screens / Screen Chutes,Screen-REF-003,Screen-REF-003.jpg,Photo,C,Supporting / Context,E,TOPOLOGY / ORIENTATION; DEFECT / CONDITION; PROCESS RELATIONSHIP,Active process-water loss plus separate corrosion/structural deterioration,18. Screens - Confirmed Water Escape / Structural Story,Wider area context for the corrosion/wet-screen environment; pair with REF-002.,Active water escape is proven but the internal defect/source mechanism requires shutdown inspection. Corrosion is present in the repeatedly wetted environment but the audit does not attribute all corrosion to one water source. Structural capacity is not determined photographically.,ACCEPTED / QUICK VALIDATION CLOSED,Retain E; refined role as area-wide corrosion/context partner to REF-002.
Screen-REF-004,Surface - Screening,Screens / Screen Chutes,Screen-REF-004,Screen-REF-004.jpg,Photo,C,Direct corrosion/deterioration,S,DEFECT / CONDITION; EXTENT / SEVERITY; CONSEQUENCE,Active process-water loss plus separate corrosion/structural deterioration,18. Screens - Confirmed Water Escape / Structural Story,Optional extreme close-up of corrosion severity if body layout benefits from additional detail.,Active water escape is proven but the internal defect/source mechanism requires shutdown inspection. Corrosion is present in the repeatedly wetted environment but the audit does not attribute all corrosion to one water source. Structural capacity is not determined photographically.,ACCEPTED / QUICK VALIDATION CLOSED,Downgraded E to S; optional extreme close-up after REF-002/003 pair.
Screen-REF-005,Surface - Screening,Screens / Screen Chutes,Screen-REF-005,Screen-REF-005.jpg,Photo,C,Direct physical damage,S,DEFECT / CONDITION; MAINTENANCE / DESIGN DETAIL,Active process-water loss plus separate corrosion/structural deterioration,18. Screens - Confirmed Water Escape / Structural Story,Supporting altered-support/cut-out evidence.,Physical cut-out is visible but reason/history and remaining structural capacity are not established by the photograph.,ACCEPTED / QUICK VALIDATION CLOSED,Retain S.
Screen-REF-006,Surface - Screening,Screens / Screen Chutes,Screen-REF-006,Screen-REF-006.jpg,Photo,C,Direct physical damage,S,DEFECT / CONDITION; MAINTENANCE / DESIGN DETAIL,Active process-water loss plus separate corrosion/structural deterioration,18. Screens - Confirmed Water Escape / Structural Story,Strong supporting evidence of multiple support-member cut-outs/notches; preferred body structural pair is REF-009 + REF-010.,Physical cut-outs are visible but reason/history and remaining structural capacity are not established by the photograph.,ACCEPTED / QUICK VALIDATION CLOSED,Downgraded E to S because REF-009/010 now carry principal structural story.
Screen-REF-007,Surface - Screening,Screens / Screen Chutes,Screen-REF-007,Screen-REF-007.jpg,Photo,C,Direct corrosion/deterioration,A,DEFECT / CONDITION; EXTENT / SEVERITY; CONSEQUENCE,Active process-water loss plus separate corrosion/structural deterioration,18. Screens - Confirmed Water Escape / Structural Story,Appendix/reference corrosion evidence.,Corrosion is present but complete wetting history/source attribution is not established.,ACCEPTED / QUICK VALIDATION CLOSED,Retain A.
Screen-REF-008,Surface - Screening,Screens / Screen Chutes,Screen-REF-008,Screen-REF-008.jpg,Photo,C,Direct corrosion/deterioration,E,DEFECT / CONDITION; EXTENT / SEVERITY; CONSEQUENCE,Active process-water loss plus separate corrosion/structural deterioration,18. Screens - Confirmed Water Escape / Structural Story,Broad corrosion/section-deterioration extent image retained as essential severity evidence.,Corrosion is present in the wet screen environment but remaining structural capacity and complete causation require formal assessment.,ACCEPTED / QUICK VALIDATION CLOSED,Retain E.
Screen-REF-009,Surface - Screening,Screens / Screen Chutes,Screen-REF-009,Screen-REF-009.jpg,Photo,C,Direct physical damage,E,DEFECT / CONDITION; MAINTENANCE / DESIGN DETAIL,Active process-water loss plus separate corrosion/structural deterioration,18. Screens - Confirmed Water Escape / Structural Story,Principal wider structural-alteration image showing local openings/notches; pair with REF-010 close-up.,Physical cut-outs are directly visible but their reason/history and remaining capacity are not established by the photographs.,ACCEPTED / QUICK VALIDATION CLOSED,Elevated A to E; principal wider structural pair with REF-010.
Screen-REF-010,Surface - Screening,Screens / Screen Chutes,Screen-REF-010,Screen-REF-010.jpg,Photo,C,Direct physical damage,E,DEFECT / CONDITION; MAINTENANCE / DESIGN DETAIL,Active process-water loss plus separate corrosion/structural deterioration,18. Screens - Confirmed Water Escape / Structural Story,Principal close structural-alteration image showing substantial cut-out; pair with REF-009.,Physical cut-out is directly visible but reason/history and remaining structural capacity require formal structural assessment.,ACCEPTED / QUICK VALIDATION CLOSED,Retain E; principal close-up partner to REF-009.
Screen-REF-011,Surface - Screening,Screens / Screen Chutes,Screen-REF-011,Screen-REF-011.jpg,Photo,C,Direct corrosion/deterioration,A,DEFECT / CONDITION; EXTENT / SEVERITY; CONSEQUENCE,Active process-water loss plus separate corrosion/structural deterioration,18. Screens - Confirmed Water Escape / Structural Story,Appendix/reference corrosion evidence.,Corrosion is present but complete causation and structural capacity are unresolved.,ACCEPTED / QUICK VALIDATION CLOSED,Retain A.
Screen-REF-012,Surface - Screening,Screens / Screen Chutes,Screen-REF-012,Screen-REF-012.jpg,Photo,C,Supporting / Context,A,TOPOLOGY / ORIENTATION; PROCESS RELATIONSHIP,Active process-water loss plus separate corrosion/structural deterioration,18. Screens - Confirmed Water Escape / Structural Story,Appendix/reference orientation and underside geometry.,Does not independently establish water-source mechanism or structural capacity.,ACCEPTED / QUICK VALIDATION CLOSED,Retain A.
Screen-REF-013,Surface - Screening,Screens / Screen Chutes,Screen-REF-013,Screen-REF-013.jpg,Photo,C,Direct corrosion/deterioration,S,DEFECT / CONDITION; EXTENT / SEVERITY; CONSEQUENCE,Active process-water loss plus separate corrosion/structural deterioration,18. Screens - Confirmed Water Escape / Structural Story,Supporting combined corrosion/deterioration evidence.,Corrosion/deterioration is visible but structural capacity and complete wetting history require further assessment.,ACCEPTED / QUICK VALIDATION CLOSED,Retain S.
Screen-REF-014,Surface - Screening,Screens / Screen Chutes,Screen-REF-014,Screen-REF-014.jpg,Photo,C,Supporting / Context,A,TOPOLOGY / ORIENTATION; PROCESS RELATIONSHIP,Active process-water loss plus separate corrosion/structural deterioration,18. Screens - Confirmed Water Escape / Structural Story,Appendix/reference orientation image.,Does not independently establish internal water-source mechanism.,ACCEPTED / QUICK VALIDATION CLOSED,Retain A.
Screen-REF-015,Surface - Screening,Screens / Screen Chutes,Screen-REF-015,Screen-REF-015.mp4,Video,C,Direct / Supporting video,S,OPERATING CONTEXT; MECHANISM,Active process-water loss plus separate corrosion/structural deterioration,18. Screens - Confirmed Water Escape / Structural Story,Supporting operating video showing wetting/runoff around the screen structure.,Confirms active wetting but does not isolate the internal source mechanism.,ACCEPTED / QUICK VALIDATION CLOSED,Retain S.
Screen-REF-016,Surface - Screening,Screens / Screen Chutes,Screen-REF-016,Screen-REF-016.mp4,Video,C,Direct dynamic,E,MECHANISM; OPERATING CONTEXT; CONSEQUENCE,Active process-water loss plus separate corrosion/structural deterioration,18. Screens - Confirmed Water Escape / Structural Story,Principal dynamic proof that process water actively escapes the operating screen/chute containment.,Directly proves active water escape but not the internal defect or exact internal source.,ACCEPTED / QUICK VALIDATION CLOSED,Retain E; direct operating proof of active spray/water escape.
Screen-REF-017,Surface - Screening,Screens / Screen Chutes,Screen-REF-017,Screen-REF-017.mp4,Video,C,Direct dynamic,E,MECHANISM; OPERATING CONTEXT; PROCESS RELATIONSHIP; EXTENT / SEVERITY; CONSEQUENCE,Active process-water loss plus separate corrosion/structural deterioration,18. Screens - Confirmed Water Escape / Structural Story,Principal dynamic evidence for tracing the water to a concentrated external point of emergence/escape on the operating screen assembly.,The video helps localise the external escape point but safe shutdown/internal inspection is required to identify the internal source/defect mechanism.,ACCEPTED / QUICK VALIDATION CLOSED,Retain E; refined role as best external escape-point localisation evidence.
