Matrix Key,Area,Asset,Canonical ID,Repository Filename,Media Type,Batch,Evidence Strength,Inclusion,Story Role,Narrative Story,Primary Narrative Section,Proposed Report Use,Qualification / Caution,Inspector Review,Inspector Note
LoadoutStationL1-REF-001,Surface - Loading Station,L1 Conveyor,LoadoutStationL1-REF-001,LoadoutStationL1-REF-001.jpg,Photo,C,Direct,A,EXTENT / SEVERITY; CONSEQUENCE,"L1 spillage, historical belt contact and structural deterioration","19. L1 - Spillage, Historical Belt Contact and Structural Deterioration",Appendix/reference accumulation evidence.,Photograph proves accumulation but not its complete initiating mechanism.,ACCEPTED / QUICK VALIDATION CLOSED,Retain A.
LoadoutStationL1-REF-002,Surface - Loading Station,L1 Conveyor,LoadoutStationL1-REF-002,LoadoutStationL1-REF-002.jpg,Photo,C,Direct,A,EXTENT / SEVERITY; CONSEQUENCE,"L1 spillage, historical belt contact and structural deterioration","19. L1 - Spillage, Historical Belt Contact and Structural Deterioration",Appendix/reference accumulation evidence.,Photograph proves accumulation but not its complete initiating mechanism.,ACCEPTED / QUICK VALIDATION CLOSED,Retain A.
LoadoutStationL1-REF-003,Surface - Loading Station,L1 Conveyor,LoadoutStationL1-REF-003,LoadoutStationL1-REF-003.jpg,Photo,C,Direct,A,DEFECT / CONDITION; EXTENT / SEVERITY; CONSEQUENCE,"L1 spillage, historical belt contact and structural deterioration","19. L1 - Spillage, Historical Belt Contact and Structural Deterioration",Alternate concrete-deterioration evidence; REF-004/005 preferred body pair.,Structural capacity cannot be determined from photographs.,ACCEPTED / QUICK VALIDATION CLOSED,Retain A; superseded in body priority by REF-004/005 pair.
LoadoutStationL1-REF-004,Surface - Loading Station,L1 Conveyor,LoadoutStationL1-REF-004,LoadoutStationL1-REF-004.jpg,Photo,C,Direct / Supporting,E,DEFECT / CONDITION; EXTENT / SEVERITY; CONSEQUENCE,"L1 spillage, historical belt contact and structural deterioration","19. L1 - Spillage, Historical Belt Contact and Structural Deterioration",Principal wider/general-location image for concrete deterioration around the L1 conveyor/tunnel structure.,Structural capacity cannot be determined from photographs.,ACCEPTED / QUICK VALIDATION CLOSED,Retain E; pair with REF-005.
LoadoutStationL1-REF-005,Surface - Loading Station,L1 Conveyor,LoadoutStationL1-REF-005,LoadoutStationL1-REF-005.jpg,Photo,C,Direct,E,DEFECT / CONDITION; EXTENT / SEVERITY; CONSEQUENCE,"L1 spillage, historical belt contact and structural deterioration","19. L1 - Spillage, Historical Belt Contact and Structural Deterioration",Principal close-up showing severity of concrete loss/spalling and exposed reinforcement.,Structural capacity cannot be determined from photographs.,ACCEPTED / QUICK VALIDATION CLOSED,Retain E; pair with REF-004.
LoadoutStationL1-REF-006,Surface - Loading Station,L1 Conveyor,LoadoutStationL1-REF-006,LoadoutStationL1-REF-006.jpg,Photo,C,Direct / Supporting,S,DEFECT / CONDITION; EXTENT / SEVERITY; CONSEQUENCE,"L1 spillage, historical belt contact and structural deterioration","19. L1 - Spillage, Historical Belt Contact and Structural Deterioration",Supporting wider structural context if required.,Structural capacity cannot be determined from photographs.,ACCEPTED / QUICK VALIDATION CLOSED,Retain S.
LoadoutStationL1-REF-007,Surface - Loading Station,L1 Conveyor,LoadoutStationL1-REF-007,LoadoutStationL1-REF-007.jpg,Photo,C,Direct,E,MECHANISM; DEFECT / CONDITION; OPERATING CONTEXT,"L1 spillage, historical belt contact and structural deterioration","19. L1 - Spillage, Historical Belt Contact and Structural Deterioration",Principal historical belt-contact evidence: wear slots adjacent to a belt that was running clear and showed no visible offset/mistracking at the inspected condition.,Wear slots support previous/intermittent contact; the current inspected condition did not show contact or visible mistracking. Earlier dynamic cause remains unverified.,ACCEPTED / QUICK VALIDATION CLOSED,Retain E with refined historical-condition wording.
LoadoutStationL1-REF-008,Surface - Loading Station,L1 Conveyor,LoadoutStationL1-REF-008,LoadoutStationL1-REF-008.jpg,Photo,C,Direct,E,DEFECT / CONDITION; EXTENT / SEVERITY,"L1 spillage, historical belt contact and structural deterioration","19. L1 - Spillage, Historical Belt Contact and Structural Deterioration",Principal steel section-loss/perforation evidence at one structural location.,Remaining capacity cannot be determined from photographs.,ACCEPTED / QUICK VALIDATION CLOSED,Retain E; first of two distinct steel-deterioration locations.
LoadoutStationL1-REF-009,Surface - Loading Station,L1 Conveyor,LoadoutStationL1-REF-009,LoadoutStationL1-REF-009.jpg,Photo,C,Direct,E,DEFECT / CONDITION; EXTENT / SEVERITY,"L1 spillage, historical belt contact and structural deterioration","19. L1 - Spillage, Historical Belt Contact and Structural Deterioration",Second principal steel deterioration/section-loss image at a separate structural location.,Remaining capacity cannot be determined from photographs.,ACCEPTED / QUICK VALIDATION CLOSED,Retain E; complementary distinct location to REF-008.
LoadoutStationL1-REF-010,Surface - Loading Station,L1 Conveyor,LoadoutStationL1-REF-010,LoadoutStationL1-REF-010.jpg,Photo,C,Direct / Supporting,A,EXTENT / SEVERITY; CONSEQUENCE,"L1 spillage, historical belt contact and structural deterioration","19. L1 - Spillage, Historical Belt Contact and Structural Deterioration",Appendix/reference accumulation evidence.,Does not independently establish source mechanism.,ACCEPTED / QUICK VALIDATION CLOSED,Retain A.
