Matrix Key,Area,Asset,Canonical ID,Repository Filename,Media Type,Batch,Evidence Strength,Inclusion,Story Role,Narrative Story,Primary Narrative Section,Proposed Report Use,Qualification / Caution,Inspector Review,Inspector Note
LoadoutStationSample2-REF-001,Surface - Loading Station,Sample Conveyor 2,LoadoutStationSample2-REF-001,LoadoutStationSample2-REF-001.jpg,Photo,B,Direct,E,EXTENT / SEVERITY; CONSEQUENCE,Interacting feed/product-size/belt-position and containment-loss condition,"13. Sample Conveyors - Product Size, Feed and Limited Carrying Width",Opening consequence image paired with REF-004 to establish that the abnormal carrying condition has a substantial material-loss consequence.,Does not identify the initiating mechanism or prove quantitative design-capacity overload.,ACCEPTED / FOCUSED REVIEW CLOSED,Retain E; deliberate opening pair with REF-004.
LoadoutStationSample2-REF-002,Surface - Loading Station,Sample Conveyor 2,LoadoutStationSample2-REF-002,LoadoutStationSample2-REF-002.jpg,Photo,B,Direct,A,EXTENT / SEVERITY,Interacting feed/product-size/belt-position and containment-loss condition,"13. Sample Conveyors - Product Size, Feed and Limited Carrying Width",Alternate consequence evidence; no unique body relationship beyond REF-001/003.,Does not identify the initiating mechanism or prove quantitative design-capacity overload.,ACCEPTED / FOCUSED REVIEW CLOSED,Retain A.
LoadoutStationSample2-REF-003,Surface - Loading Station,Sample Conveyor 2,LoadoutStationSample2-REF-003,LoadoutStationSample2-REF-003.jpg,Photo,B,Direct,A,EXTENT / SEVERITY; CONSEQUENCE,Interacting feed/product-size/belt-position and containment-loss condition,"13. Sample Conveyors - Product Size, Feed and Limited Carrying Width",Strong alternate wider consequence view for appendix/reference use.,Does not identify the initiating mechanism or prove quantitative design-capacity overload.,ACCEPTED / FOCUSED REVIEW CLOSED,Retain A; REF-001 performs the principal body consequence role.
LoadoutStationSample2-REF-004,Surface - Loading Station,Sample Conveyor 2,LoadoutStationSample2-REF-004,LoadoutStationSample2-REF-004.jpg,Photo,B,Direct,E,MECHANISM; DEFECT / CONDITION; PROCESS RELATIONSHIP,Interacting feed/product-size/belt-position and containment-loss condition,"13. Sample Conveyors - Product Size, Feed and Limited Carrying Width",Opening problem image showing coarse-product scale relative to the narrow belt; supporting lateral-offset evidence visible in the roller/belt relationship; pair with REF-005.,The image supports a captured lateral belt-offset condition but does not quantify magnitude persistence frequency or root cause. It does not prove rated-capacity overload.,ACCEPTED / FOCUSED REVIEW CLOSED,Retain E; pair with REF-001 for opening hook and REF-005 for belt-position clarification.
LoadoutStationSample2-REF-005,Surface - Loading Station,Sample Conveyor 2,LoadoutStationSample2-REF-005,LoadoutStationSample2-REF-005.jpg,Photo,B,Direct / Supporting,E,MECHANISM; OPERATING CONTEXT; PROCESS RELATIONSHIP; MAINTENANCE / DESIGN DETAIL,Interacting feed/product-size/belt-position and containment-loss condition,"13. Sample Conveyors - Product Size, Feed and Limited Carrying Width",Complementary exposed-roller / lateral belt-position image and local entry/cover geometry; clarifies REF-004.,The image supports a captured lateral belt-offset condition but does not quantify magnitude persistence frequency or root cause.,ACCEPTED / FOCUSED REVIEW CLOSED,Elevated S to E; complementary to REF-004.
LoadoutStationSample2-REF-006,Surface - Loading Station,Sample Conveyor 2,LoadoutStationSample2-REF-006,LoadoutStationSample2-REF-006.jpg,Photo,B,Direct,E,MECHANISM; DEFECT / CONDITION; CONSEQUENCE; PROCESS RELATIONSHIP,Interacting feed/product-size/belt-position and containment-loss condition,"13. Sample Conveyors - Product Size, Feed and Limited Carrying Width",Principal congested entry/guide-zone and containment-loss image showing the physical zone where feed product size belt position and accumulated product interact.,The photographed end condition is compatible with several interacting mechanisms but does not establish a witnessed chronological causal sequence.,ACCEPTED / FOCUSED REVIEW CLOSED,Retain E; orange covers are entry-zone covers/guides associated with directing feed toward the belt carrying path.
LoadoutStationSample2-REF-007,Surface - Loading Station,Sample Conveyor 2,LoadoutStationSample2-REF-007,LoadoutStationSample2-REF-007.jpg,Photo,B,Direct,E,MECHANISM; PROCESS RELATIONSHIP; DEFECT / CONDITION,Interacting feed/product-size/belt-position and containment-loss condition,"13. Sample Conveyors - Product Size, Feed and Limited Carrying Width",Strong combined observed-loading / product-size / limited carrying-geometry image.,Does not independently establish feed rate design-capacity exceedance or tracking cause.,ACCEPTED / FOCUSED REVIEW CLOSED,Retain E.
LoadoutStationSample2-REF-008,Surface - Loading Station,Sample Conveyor 2,LoadoutStationSample2-REF-008,LoadoutStationSample2-REF-008.jpg,Photo,B,Direct / Supporting,A,CONSEQUENCE; EXTENT / SEVERITY,Interacting feed/product-size/belt-position and containment-loss condition,"13. Sample Conveyors - Product Size, Feed and Limited Carrying Width",Lower-structure accumulation retained as appendix/reference evidence; little unique value to the principal relationship narrative.,Does not materially advance the feed/product-size/tracking/containment explanation.,ACCEPTED / FOCUSED REVIEW CLOSED,Downgraded S to A.
LoadoutStationSample3-REF-001,Surface - Loading Station,Sample Conveyor 3,LoadoutStationSample3-REF-001,LoadoutStationSample3-REF-001.jpg,Photo,B,Context only,A,TOPOLOGY / ORIENTATION,Feed/product-size/narrow-belt containment plus visually substantial lateral belt offset,13. Sample Conveyors / 14. Belt Tracking as a Material-Containment Requirement,General installation/topology context.,Lateral offset magnitude persistence and root cause remain unmeasured/unverified.,ACCEPTED / FOCUSED REVIEW CLOSED,Retain A.
LoadoutStationSample3-REF-002,Surface - Loading Station,Sample Conveyor 3,LoadoutStationSample3-REF-002,LoadoutStationSample3-REF-002.jpg,Photo,B,Direct,E,MECHANISM; PROCESS RELATIONSHIP; EXTENT / SEVERITY; CONSEQUENCE,Feed/product-size/narrow-belt containment plus visually substantial lateral belt offset,13. Sample Conveyors / 14. Belt Tracking as a Material-Containment Requirement,Principal feed/loading + coarse-product-size-versus-narrow-belt + local containment relationship image.,Shows captured loading/geometric condition but does not establish live feed rate or rated-capacity exceedance.,ACCEPTED / FOCUSED REVIEW CLOSED,Retain E with refined relationship role.
