Matrix Key,Area,Asset,Canonical ID,Repository Filename,Media Type,Batch,Evidence Strength,Inclusion,Story Role,Narrative Story,Primary Narrative Section,Proposed Report Use,Qualification / Caution,Inspector Review,Inspector Note
UGCrusher-REF-001,Underground - Central Block,Underground Crusher,UGCrusher-REF-001,UGCrusher-REF-001.JPG,Photo,F,Direct,E,EXTENT / SEVERITY; CONSEQUENCE,Material-loss condition at the underground start of the conveyor ecosystem,5. The Material Journey / 7. Overall Spillage Picture,Hero overall mixed lump/fines accumulation with standing water; establishes starting-point condition.,Water is visible but its source is unknown. Deposits are consistent with recorded carryback but not every deposit is proven to originate from carryback.,ACCEPTED,
UGCrusher-REF-002,Underground - Central Block,Underground Crusher,UGCrusher-REF-002,UGCrusher-REF-002.JPG,Photo,F,Direct,E,DEFECT / CONDITION; EXTENT / SEVERITY,Material-loss condition at the underground start of the conveyor ecosystem,5. The Material Journey / 7. Overall Spillage Picture,Strong mixed coarse/fines accumulation beneath the conveyor/crusher structure.,Water is visible but its source is unknown. Deposits are consistent with recorded carryback but not every deposit is proven to originate from carryback.,ACCEPTED,
UGCrusher-REF-003,Underground - Central Block,Underground Crusher,UGCrusher-REF-003,UGCrusher-REF-003.JPG,Photo,F,Direct / Supporting,S,MECHANISM; DEFECT / CONDITION,Material-loss condition at the underground start of the conveyor ecosystem,5. The Material Journey / 7. Overall Spillage Picture,Under-belt fines with scattered fragments supporting return-side accumulation context.,Water is visible but its source is unknown. Deposits are consistent with recorded carryback but not every deposit is proven to originate from carryback.,PENDING,
UGCrusher-REF-004,Underground - Central Block,Underground Crusher,UGCrusher-REF-004,UGCrusher-REF-004.JPG,Photo,F,Context,S,TOPOLOGY / ORIENTATION; PROCESS RELATIONSHIP,Material-loss condition at the underground start of the conveyor ecosystem,5. The Material Journey / 7. Overall Spillage Picture,Useful route/orientation image to establish the underground starting point.,Water is visible but its source is unknown. Deposits are consistent with recorded carryback but not every deposit is proven to originate from carryback.,PENDING,
UGCrusher-REF-005,Underground - Central Block,Underground Crusher,UGCrusher-REF-005,UGCrusher-REF-005.JPG,Photo,F,Direct / Supporting,S,PROCESS RELATIONSHIP; EXTENT / SEVERITY,Material-loss condition at the underground start of the conveyor ecosystem,5. The Material Journey / 7. Overall Spillage Picture,"Shows product retained above floor level within structure, supporting distributed contamination.",Water is visible but its source is unknown. Deposits are consistent with recorded carryback but not every deposit is proven to originate from carryback.,PENDING,
UGUC05_04_03_02_01-REF-001,Underground - Central Block,UC05-UC01 Continuous Conveyor System,UGUC05_04_03_02_01-REF-001,UGUC05_04_03_02_01-REF-001.JPG,Photo,F,Supporting / Context,S,EXTENT / SEVERITY; PROCESS RELATIONSHIP,Distributed fines accumulation along the continuous underground route,5. The Material Journey / 8. Fines Are Being Lost Progressively,Supporting evidence for distributed fines accumulation along the continuous underground route.,Carryback is a mechanism interpretation rather than sole proven origin of every deposit. Recent cleaning history for comparatively clear sections remains source-recorded.,PENDING,
UGUC05_04_03_02_01-REF-002,Underground - Central Block,UC05-UC01 Continuous Conveyor System,UGUC05_04_03_02_01-REF-002,UGUC05_04_03_02_01-REF-002.JPG,Photo,F,Direct,S,EXTENT / SEVERITY; PROCESS RELATIONSHIP,Distributed fines accumulation along the continuous underground route,5. The Material Journey / 8. Fines Are Being Lost Progressively,Supporting evidence for distributed fines accumulation along the continuous underground route.,Carryback is a mechanism interpretation rather than sole proven origin of every deposit. Recent cleaning history for comparatively clear sections remains source-recorded.,PENDING,
UGUC05_04_03_02_01-REF-003,Underground - Central Block,UC05-UC01 Continuous Conveyor System,UGUC05_04_03_02_01-REF-003,UGUC05_04_03_02_01-REF-003.JPG,Photo,F,Supporting / Context,S,TOPOLOGY / ORIENTATION; PROCESS RELATIONSHIP,Distributed fines accumulation along the continuous underground route,5. The Material Journey / 8. Fines Are Being Lost Progressively,Route/transfer context linking deposits to the continuous conveyor journey.,Carryback is a mechanism interpretation rather than sole proven origin of every deposit. Recent cleaning history for comparatively clear sections remains source-recorded.,PENDING,
UGUC05_04_03_02_01-REF-004,Underground - Central Block,UC05-UC01 Continuous Conveyor System,UGUC05_04_03_02_01-REF-004,UGUC05_04_03_02_01-REF-004.JPG,Photo,F,Direct / Supporting,S,MECHANISM; DEFECT / CONDITION,Distributed fines accumulation along the continuous underground route,5. The Material Journey / 8. Fines Are Being Lost Progressively,Supporting evidence for distributed fines accumulation along the continuous underground route.,Carryback is a mechanism interpretation rather than sole proven origin of every deposit. Recent cleaning history for comparatively clear sections remains source-recorded.,PENDING,
UGUC05_04_03_02_01-REF-005,Underground - Central Block,UC05-UC01 Continuous Conveyor System,UGUC05_04_03_02_01-REF-005,UGUC05_04_03_02_01-REF-005.JPG,Photo,F,Direct,E,DEFECT / CONDITION; EXTENT / SEVERITY,Distributed fines accumulation along the continuous underground route,5. The Material Journey / 8. Fines Are Being Lost Progressively,Essential mixed coarse/fines evidence along the continuous underground route.,Carryback is a mechanism interpretation rather than sole proven origin of every deposit. Recent cleaning history for comparatively clear sections remains source-recorded.,ACCEPTED,
